Geneid	symbol	DMSO_express	IBR_express	RES_express
ENSG00000009950	MLXIPL	FALSE	FALSE	FALSE
ENSG00000009954	BAZ1B	TRUE	TRUE	TRUE
ENSG00000010017	RANBP9	TRUE	TRUE	TRUE
ENSG00000010030	ETV7	FALSE	FALSE	FALSE
ENSG00000010072	SPRTN	TRUE	TRUE	TRUE
ENSG00000010165	METTL13	TRUE	TRUE	TRUE
ENSG00000010219	DYRK4	TRUE	TRUE	TRUE
ENSG00000010244	ZNF207	TRUE	TRUE	TRUE
ENSG00000010256	UQCRC1	TRUE	TRUE	TRUE
ENSG00000010270	STARD3NL	TRUE	TRUE	TRUE
ENSG00000010278	CD9	FALSE	FALSE	FALSE
ENSG00000010282	HHATL	FALSE	FALSE	FALSE
ENSG00000010292	NCAPD2	TRUE	TRUE	TRUE
ENSG00000010295	IFFO1	FALSE	FALSE	FALSE
ENSG00000010310	GIPR	FALSE	FALSE	FALSE
ENSG00000010318	PHF7	TRUE	TRUE	TRUE
ENSG00000010319	SEMA3G	FALSE	FALSE	FALSE
ENSG00000010322	NISCH	TRUE	TRUE	TRUE
ENSG00000010327	STAB1	FALSE	FALSE	FALSE
ENSG00000010361	FUZ	TRUE	TRUE	FALSE
ENSG00000010379	SLC6A13	FALSE	FALSE	FALSE
ENSG00000010404	IDS	TRUE	TRUE	TRUE
ENSG00000010438	PRSS3	FALSE	FALSE	FALSE
ENSG00000010539	ZNF200	TRUE	TRUE	TRUE
ENSG00000010610	CD4	FALSE	FALSE	FALSE
ENSG00000010626	LRRC23	FALSE	FALSE	FALSE
ENSG00000010671	BTK	TRUE	TRUE	TRUE
ENSG00000010704	HFE	FALSE	FALSE	FALSE
ENSG00000010803	SCMH1	TRUE	TRUE	TRUE
ENSG00000010810	FYN	TRUE	TRUE	TRUE
ENSG00000010818	HIVEP2	TRUE	TRUE	TRUE
ENSG00000010932	FMO1	FALSE	FALSE	FALSE
ENSG00000011007	TCEB3	TRUE	TRUE	TRUE
ENSG00000011009	LYPLA2	TRUE	TRUE	TRUE
ENSG00000011021	CLCN6	TRUE	TRUE	TRUE
ENSG00000011028	MRC2	FALSE	FALSE	FALSE
ENSG00000011052	NME2	TRUE	TRUE	TRUE
ENSG00000011083	SLC6A7	FALSE	FALSE	FALSE
ENSG00000011105	TSPAN9	FALSE	FALSE	FALSE
ENSG00000011114	BTBD7	TRUE	TRUE	TRUE
ENSG00000011132	APBA3	TRUE	TRUE	TRUE
ENSG00000011143	MKS1	FALSE	TRUE	TRUE
ENSG00000011198	ABHD5	TRUE	TRUE	TRUE
ENSG00000011201	KAL1	FALSE	FALSE	FALSE
ENSG00000011243	AKAP8L	TRUE	TRUE	TRUE
ENSG00000011258	MBTD1	TRUE	TRUE	TRUE
ENSG00000011260	UTP18	TRUE	TRUE	TRUE
ENSG00000011275	RNF216	TRUE	TRUE	TRUE
ENSG00000011295	TTC19	TRUE	TRUE	TRUE
ENSG00000011304	PTBP1	TRUE	TRUE	TRUE
ENSG00000011332	DPF1	TRUE	FALSE	FALSE
ENSG00000011347	SYT7	FALSE	FALSE	FALSE
ENSG00000011376	LARS2	TRUE	TRUE	TRUE
ENSG00000011405	PIK3C2A	TRUE	TRUE	TRUE
ENSG00000011422	PLAUR	FALSE	FALSE	FALSE
ENSG00000011426	ANLN	TRUE	TRUE	TRUE
ENSG00000011451	WIZ	TRUE	FALSE	TRUE
ENSG00000011454	RABGAP1	TRUE	TRUE	TRUE
ENSG00000011465	DCN	FALSE	FALSE	FALSE
ENSG00000011478	QPCTL	TRUE	FALSE	TRUE
ENSG00000011485	PPP5C	TRUE	TRUE	TRUE
ENSG00000011523	CEP68	TRUE	TRUE	TRUE
ENSG00000011566	MAP4K3	FALSE	FALSE	FALSE
ENSG00000011590	ZBTB32	TRUE	FALSE	FALSE
ENSG00000011600	TYROBP	FALSE	FALSE	FALSE
ENSG00000011638	TMEM159	TRUE	TRUE	TRUE
ENSG00000011677	GABRA3	FALSE	FALSE	FALSE
ENSG00000012048	BRCA1	TRUE	TRUE	TRUE
